month,avg_high,avg_low,record_high,record_low,avg_precipitation,naujas,naujas_2,mean_minmax
Sep,77,57.0,103.0,40,0.17,5,40,67.0
Jul,77,58.0,105.0,44,0.0,5,30,67.5
Aug,77,59.0,102.0,43,0.03,5,35,68.0
Jun,75,56.0,107.0,41,0.11,5,25,65.5
Oct,73,54.0,96.0,34,0.81,5,45,63.5
May,71,53.0,98.0,35,0.48,5,20,62.0
Apr,67,50.0,92.0,28,1.02,5,15,58.5
Mar,65,48.0,84.0,25,2.34,5,10,56.5
Nov,64,48.0,84.0,30,1.7,5,50,56.0
Feb,61,45.0,78.0,26,3.02,5,5,53.0
Jan,58,42.0,74.0,22,2.05,5,0,50.0
Dec,58,42.0,73.0,21,2.56,5,60,50.0
Dec,58,,,21,2.56,5,55,
